	timestamp	date	activity
0	2003-03-18 15:00:00	2003-03-18	60
1	2003-03-18 15:01:00	2003-03-18	0
2	2003-03-18 15:02:00	2003-03-18	264
3	2003-03-18 15:03:00	2003-03-18	662
4	2003-03-18 15:04:00	2003-03-18	293
5	2003-03-18 15:05:00	2003-03-18	0
6	2003-03-18 15:06:00	2003-03-18	322
7	2003-03-18 15:07:00	2003-03-18	1102
8	2003-03-18 15:08:00	2003-03-18	1067
9	2003-03-18 15:09:00	2003-03-18	239
10	2003-03-18 15:10:00	2003-03-18	1174
11	2003-03-18 15:11:00	2003-03-18	121
12	2003-03-18 15:12:00	2003-03-18	37
13	2003-03-18 15:13:00	2003-03-18	231
14	2003-03-18 15:14:00	2003-03-18	394
15	2003-03-18 15:15:00	2003-03-18	161
16	2003-03-18 15:16:00	2003-03-18	76
17	2003-03-18 15:17:00	2003-03-18	40
18	2003-03-18 15:18:00	2003-03-18	60
19	2003-03-18 15:19:00	2003-03-18	80
20	2003-03-18 15:20:00	2003-03-18	18
21	2003-03-18 15:21:00	2003-03-18	141
22	2003-03-18 15:22:00	2003-03-18	30
23	2003-03-18 15:23:00	2003-03-18	12
24	2003-03-18 15:24:00	2003-03-18	60
25	2003-03-18 15:25:00	2003-03-18	86
26	2003-03-18 15:26:00	2003-03-18	111
27	2003-03-18 15:27:00	2003-03-18	20
28	2003-03-18 15:28:00	2003-03-18	7
29	2003-03-18 15:29:00	2003-03-18	90
30	2003-03-18 15:30:00	2003-03-18	136
31	2003-03-18 15:31:00	2003-03-18	83
32	2003-03-18 15:32:00	2003-03-18	53
33	2003-03-18 15:33:00	2003-03-18	188
34	2003-03-18 15:34:00	2003-03-18	70
35	2003-03-18 15:35:00	2003-03-18	156
36	2003-03-18 15:36:00	2003-03-18	131
37	2003-03-18 15:37:00	2003-03-18	141
38	2003-03-18 15:38:00	2003-03-18	90
39	2003-03-18 15:39:00	2003-03-18	63
40	2003-03-18 15:40:00	2003-03-18	57
41	2003-03-18 15:41:00	2003-03-18	168
42	2003-03-18 15:42:00	2003-03-18	111
43	2003-03-18 15:43:00	2003-03-18	60
44	2003-03-18 15:44:00	2003-03-18	28
45	2003-03-18 15:45:00	2003-03-18	8
46	2003-03-18 15:46:00	2003-03-18	76
47	2003-03-18 15:47:00	2003-03-18	60
